	ALL	1orMORE	CERO	NaN	ALL_TruePositive_query_count	1orMORE_TruePositive_query_count	CERO_FalsePositive_query_count	NaN_query_count	TruePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
PANTHER_count_0.45_1e-15	8596	1964	147	157355	414	224	16	10496	10560	10707	0.9862706640515551	10415.01821238442
PANTHER_count_0.45_1e-10	9153	2145	172	156592	448	245	19	10496	11298	11470	0.9850043591979076	11128.579250217961
PANTHER_count_0.45_1e-05	9575	2236	180	156071	473	258	20	10494	11811	11991	0.9849887415561671	11633.70202651989
PANTHER_count_0.45_0.01	9630	2250	180	156002	477	261	20	10494	11880	12060	0.9850746268656716	11702.686567164179
PANTHER_count_0.45_1	9649	2254	180	155979	478	261	20	10494	11903	12083	0.9851030373251676	11725.68145328147
InterPro_count_0.45_1e-30	5293	2426	0	160343	252	199	0	10500	7719	7719	1.0	7719.0
InterPro_count_0.45_1e-20	6880	2803	0	158379	326	234	0	10496	9683	9683	1.0	9683.0
InterPro_count_0.45_1e-15	7508	3282	0	157272	358	263	0	10496	10790	10790	1.0	10790.0
InterPro_count_0.45_1e-10	8005	3548	0	156509	381	284	0	10496	11553	11553	1.0	11553.0
InterPro_count_0.45_1e-05	8376	3704	0	155982	408	301	0	10494	12080	12080	1.0	12080.0
InterPro_count_0.45_0.01	8442	3709	0	155911	412	302	0	10494	12151	12151	1.0	12151.0
InterPro_count_0.45_1	8465	3721	0	155876	413	303	0	10494	12186	12186	1.0	12186.0
Pfam_count_0.45_1e-30	6668	987	36	160371	291	81	5	10501	7655	7691	0.995319204264725	7619.1685086464695
Pfam_count_0.45_1e-20	8538	1020	68	158436	372	92	6	10497	9558	9626	0.9929357988780386	9490.480365676292
Pfam_count_0.45_1e-15	9583	1076	70	157333	410	102	7	10497	10659	10729	0.9934756268058533	10589.45670612359
Pfam_count_0.45_1e-10	10234	1134	70	156624	442	107	7	10497	11368	11438	0.9938800489596084	11298.428396572828
Pfam_count_0.45_1e-05	10750	1139	71	156102	469	108	8	10495	11889	11960	0.9940635451505017	11818.421488294314
Pfam_count_0.45_0.01	10817	1139	71	156035	472	108	8	10495	11956	12027	0.9940966159474516	11885.419140267732
Pfam_count_0.45_1	10852	1139	71	156000	473	108	8	10495	11991	12062	0.994113745647488	11920.41792405903
eggNOG_count_0.45_1e-30	1927	16	116	166003	117	3	24	10508	1943	2059	0.9436619718309859	1833.5352112676055
eggNOG_count_0.45_1e-20	2562	16	130	165354	154	3	29	10508	2578	2708	0.9519940915805022	2454.240768094535
eggNOG_count_0.45_1e-15	3088	16	142	164816	179	3	33	10508	3104	3246	0.9562538508934073	2968.2119531731364
eggNOG_count_0.45_1e-10	3388	16	146	164512	195	3	35	10508	3404	3550	0.9588732394366197	3264.0045070422534
eggNOG_count_0.45_1e-05	3627	16	154	164265	212	3	38	10508	3643	3797	0.9594416644719516	3495.2459836713197
eggNOG_count_0.45_0.01	3647	16	166	164233	214	3	39	10508	3663	3829	0.9566466440323844	3504.1966570906243
eggNOG_count_0.45_1	3647	16	166	164233	214	3	39	10508	3663	3829	0.9566466440323844	3504.1966570906243
EC number_count_0.5_1e-30	2087	40	136	165799	101	8	15	10506	2127	2263	0.9399027839151569	1999.1732213875387
EC number_count_0.5_1e-20	2205	40	190	165627	107	8	21	10505	2245	2435	0.9219712525667351	2069.8254620123203
EC number_count_0.5_1e-15	2211	40	190	165621	107	8	21	10505	2251	2441	0.9221630479311758	2075.7890208930767
EC number_count_0.5_1e-10	2237	40	190	165595	109	8	21	10505	2277	2467	0.92298338062424	2101.6331576813946
EC number_count_0.5_1e-05	2237	40	190	165595	109	8	21	10505	2277	2467	0.92298338062424	2101.6331576813946
EC number_count_0.5_0.01	2237	40	190	165595	109	8	21	10505	2277	2467	0.92298338062424	2101.6331576813946
EC number_count_0.5_1	2237	40	190	165595	109	8	21	10505	2277	2467	0.92298338062424	2101.6331576813946
Protein families_count_0.5_1e-30	3880	32	190	163960	161	4	21	10506	3912	4102	0.9536811311555339	3730.8005850804484
Protein families_count_0.5_1e-20	4882	38	232	162910	206	6	25	10504	4920	5152	0.9549689440993789	4698.447204968945
Protein families_count_0.5_1e-15	5462	38	236	162326	227	6	26	10504	5500	5736	0.9588563458856346	5273.709902370991
Protein families_count_0.5_1e-10	5805	38	236	161983	244	6	26	10504	5843	6079	0.9611778253002139	5616.1620332291495
Protein families_count_0.5_1e-05	6145	38	236	161643	259	6	26	10503	6183	6419	0.9632341486212805	5955.676740925378
Protein families_count_0.5_0.01	6175	38	236	161613	262	6	26	10503	6213	6449	0.9634051790975345	5985.6363777329825
Protein families_count_0.5_1	6183	38	236	161605	263	6	26	10503	6221	6457	0.963450518816788	5993.625677559238
OrthoDB_count_0.5_1e-30	1963	0	397	165702	116	0	55	10505	1963	2360	0.8317796610169491	1632.7834745762711
OrthoDB_count_0.5_1e-20	2596	0	432	165034	154	0	65	10504	2596	3028	0.857331571994716	2225.632760898283
OrthoDB_count_0.5_1e-15	3007	0	492	164563	175	0	70	10504	3007	3499	0.8593883966847671	2584.1809088310947
OrthoDB_count_0.5_1e-10	3150	0	558	164354	183	0	76	10504	3150	3708	0.8495145631067961	2675.9708737864075
OrthoDB_count_0.5_1e-05	3323	0	578	164161	191	0	79	10504	3323	3901	0.851832863368367	2830.6406049730836
OrthoDB_count_0.5_0.01	3331	0	590	164141	193	0	79	10504	3331	3921	0.84952818158633	2829.778372864065
OrthoDB_count_0.5_1	3335	0	594	164133	194	0	80	10504	3335	3929	0.8488164927462458	2830.80300330873
PANTHER_count_0.5_1e-30	3859	891	8	163304	197	102	2	10503	4750	4758	0.9983186212694409	4742.013451029845
PANTHER_count_0.5_1e-20	4788	1143	40	162091	250	131	7	10499	5931	5971	0.9933009546139675	5891.267961815442
PANTHER_count_0.5_1e-15	5330	1299	62	161371	272	151	7	10499	6629	6691	0.9907338215513376	6567.574503063817
PANTHER_count_0.5_1e-10	5614	1373	78	160997	290	162	8	10499	6987	7065	0.9889596602972399	6909.861146496815
PANTHER_count_0.5_1e-05	5910	1424	78	160650	306	171	8	10498	7334	7412	0.9894765245547761	7256.820831084728
PANTHER_count_0.5_0.01	5942	1432	78	160610	310	174	8	10498	7374	7452	0.9895330112721417	7296.816425120773
PANTHER_count_0.5_1	5954	1434	78	160596	311	174	8	10498	7388	7466	0.989552638628449	7310.814894186981
InterPro_count_0.5_1e-30	3615	1195	0	163252	182	113	0	10503	4810	4810	1.0	4810.0
InterPro_count_0.5_1e-20	4591	1436	0	162035	233	137	0	10499	6027	6027	1.0	6027.0
InterPro_count_0.5_1e-15	4976	1771	0	161315	249	156	0	10499	6747	6747	1.0	6747.0
InterPro_count_0.5_1e-10	5248	1873	0	160941	263	163	0	10499	7121	7121	1.0	7121.0
InterPro_count_0.5_1e-05	5517	1951	0	160594	276	174	0	10498	7468	7468	1.0	7468.0
InterPro_count_0.5_0.01	5557	1953	0	160552	280	174	0	10498	7510	7510	1.0	7510.0
InterPro_count_0.5_1	5571	1962	0	160529	281	175	0	10498	7533	7533	1.0	7533.0
Pfam_count_0.5_1e-30	4252	518	14	163278	199	48	3	10504	4770	4784	0.9970735785953178	4756.0409698996655
Pfam_count_0.5_1e-20	5421	543	34	162064	256	56	4	10500	5964	5998	0.9943314438146049	5930.192730910304
Pfam_count_0.5_1e-15	6113	569	34	161346	278	61	4	10500	6682	6716	0.9949374627754616	6648.172126265635
Pfam_count_0.5_1e-10	6431	572	34	161025	295	62	4	10500	7003	7037	0.9951683956231349	6969.164274548813
Pfam_count_0.5_1e-05	6773	574	35	160680	309	63	5	10499	7347	7382	0.9952587374695204	7312.165944188567
Pfam_count_0.5_0.01	6813	574	35	160640	312	63	5	10499	7387	7422	0.9952842899488009	7352.165049851792
Pfam_count_0.5_1	6836	574	35	160617	313	63	5	10499	7410	7445	0.9952988582941572	7375.164539959705
eggNOG_count_0.5_1e-30	1201	4	46	166811	72	2	12	10508	1205	1251	0.9632294164668266	1160.691446842526
eggNOG_count_0.5_1e-20	1589	4	54	166415	101	2	14	10508	1593	1647	0.9672131147540983	1540.7704918032787
eggNOG_count_0.5_1e-15	1950	4	60	166048	115	2	16	10508	1954	2014	0.9702085402184707	1895.7874875868918
eggNOG_count_0.5_1e-10	2105	4	61	165892	125	2	17	10508	2109	2170	0.971889400921659	2049.714746543779
eggNOG_count_0.5_1e-05	2265	4	67	165726	135	2	19	10508	2269	2336	0.971318493150685	2203.9216609589043
eggNOG_count_0.5_0.01	2279	4	69	165710	137	2	19	10508	2283	2352	0.9706632653061225	2216.0242346938776
eggNOG_count_0.5_1	2279	4	69	165710	137	2	19	10508	2283	2352	0.9706632653061225	2216.0242346938776
EC number_count_0.55_1e-30	1173	20	86	166783	53	4	11	10507	1193	1279	0.9327599687255669	1112.7826426896013
EC number_count_0.55_1e-20	1253	20	116	166673	55	4	16	10506	1273	1389	0.9164866810655148	1166.6875449964002
EC number_count_0.55_1e-15	1253	20	116	166673	55	4	16	10506	1273	1389	0.9164866810655148	1166.6875449964002
EC number_count_0.55_1e-10	1255	20	116	166671	56	4	16	10506	1275	1391	0.9166067577282531	1168.6736161035226
EC number_count_0.55_1e-05	1255	20	116	166671	56	4	16	10506	1275	1391	0.9166067577282531	1168.6736161035226
EC number_count_0.55_0.01	1255	20	116	166671	56	4	16	10506	1275	1391	0.9166067577282531	1168.6736161035226
EC number_count_0.55_1	1255	20	116	166671	56	4	16	10506	1275	1391	0.9166067577282531	1168.6736161035226
Protein families_count_0.55_1e-30	2408	22	159	165473	96	3	17	10506	2430	2589	0.9385863267670915	2280.7647740440325
Protein families_count_0.55_1e-20	3160	26	197	164679	122	4	21	10504	3186	3383	0.9417676618386048	3000.471770617795
Protein families_count_0.55_1e-15	3488	26	197	164351	134	4	21	10504	3514	3711	0.9469145782807868	3327.457828078685
Protein families_count_0.55_1e-10	3684	26	197	164155	143	4	21	10504	3710	3907	0.9495776810852317	3522.9331968262095
Protein families_count_0.55_1e-05	3860	26	197	163979	151	4	21	10504	3886	4083	0.9517511633602743	3698.505020818026
Protein families_count_0.55_0.01	3866	26	197	163973	152	4	21	10504	3892	4089	0.9518219613597456	3704.49107361213
Protein families_count_0.55_1	3868	26	197	163971	152	4	21	10504	3894	4091	0.9518455145441213	3706.4864336348082
OrthoDB_count_0.55_1e-30	1157	0	297	166608	66	0	36	10505	1157	1454	0.7957359009628611	920.6664374140303
OrthoDB_count_0.55_1e-20	1583	0	327	166152	87	0	44	10505	1583	1910	0.8287958115183246	1311.9837696335078
OrthoDB_count_0.55_1e-15	1772	0	384	165906	95	0	48	10505	1772	2156	0.8218923933209648	1456.3933209647496
OrthoDB_count_0.55_1e-10	1842	0	428	165792	99	0	52	10505	1842	2270	0.811453744493392	1494.697797356828
OrthoDB_count_0.55_1e-05	1933	0	436	165693	105	0	54	10505	1933	2369	0.8159560996200929	1577.2431405656396
OrthoDB_count_0.55_0.01	1933	0	438	165691	105	0	54	10505	1933	2371	0.8152678194854491	1575.912695065373
OrthoDB_count_0.55_1	1933	0	438	165691	105	0	54	10505	1933	2371	0.8152678194854491	1575.912695065373
PANTHER_count_0.55_1e-30	2342	608	2	165110	117	67	1	10504	2950	2952	0.9993224932249323	2948.00135501355
PANTHER_count_0.55_1e-20	2978	794	32	164258	147	86	5	10501	3772	3804	0.9915878023133544	3740.269190325973
PANTHER_count_0.55_1e-15	3244	893	34	163891	157	101	5	10501	4137	4171	0.9918484775833134	4103.277151762168
PANTHER_count_0.55_1e-10	3390	932	50	163690	166	106	6	10501	4322	4372	0.9885635864592863	4272.571820677035
PANTHER_count_0.55_1e-05	3539	961	50	163512	175	111	6	10501	4500	4550	0.989010989010989	4450.549450549451
PANTHER_count_0.55_0.01	3551	961	50	163500	177	111	6	10501	4512	4562	0.9890398947829899	4462.548005260851
PANTHER_count_0.55_1	3558	961	50	163493	177	111	6	10501	4519	4569	0.9890566863646312	4469.547165681768
InterPro_count_0.55_1e-30	2406	586	0	165070	115	60	0	10504	2992	2992	1.0	2992.0
InterPro_count_0.55_1e-20	3100	746	0	164216	143	76	0	10501	3846	3846	1.0	3846.0
InterPro_count_0.55_1e-15	3337	876	0	163849	153	83	0	10501	4213	4213	1.0	4213.0
InterPro_count_0.55_1e-10	3483	931	0	163648	161	86	0	10501	4414	4414	1.0	4414.0
InterPro_count_0.55_1e-05	3642	950	0	163470	169	88	0	10501	4592	4592	1.0	4592.0
InterPro_count_0.55_0.01	3654	950	0	163458	171	88	0	10501	4604	4604	1.0	4604.0
InterPro_count_0.55_1	3661	952	0	163449	171	89	0	10501	4613	4613	1.0	4613.0
Pfam_count_0.55_1e-30	2710	270	6	165076	118	28	2	10504	2980	2986	0.9979906229068989	2974.012056262559
Pfam_count_0.55_1e-20	3547	285	6	164224	152	34	2	10501	3832	3838	0.9984366857738406	3826.0093798853572
Pfam_count_0.55_1e-15	3898	301	6	163857	163	37	2	10501	4199	4205	0.9985731272294887	4193.008561236623
Pfam_count_0.55_1e-10	4050	301	6	163705	171	37	2	10501	4351	4357	0.9986229056690383	4345.008262565986
Pfam_count_0.55_1e-05	4228	301	6	163527	180	37	2	10501	4529	4535	0.9986769570011025	4523.007938257993
Pfam_count_0.55_0.01	4240	301	6	163515	182	37	2	10501	4541	4547	0.9986804486474599	4535.007917308115
Pfam_count_0.55_1	4249	301	6	163506	182	37	2	10501	4550	4556	0.9986830553116769	4544.00790166813
eggNOG_count_0.55_1e-30	809	2	10	167241	44	1	4	10508	811	821	0.9878197320341048	801.121802679659
eggNOG_count_0.55_1e-20	1036	2	10	167014	59	1	4	10508	1038	1048	0.9904580152671756	1028.0954198473282
eggNOG_count_0.55_1e-15	1213	2	16	166831	68	1	6	10508	1215	1231	0.9870024370430545	1199.2079610073113
eggNOG_count_0.55_1e-10	1289	2	16	166755	74	1	6	10508	1291	1307	0.9877582249426167	1275.195868400918
eggNOG_count_0.55_1e-05	1369	2	18	166673	79	1	7	10508	1371	1389	0.9870410367170627	1353.233261339093
eggNOG_count_0.55_0.01	1369	2	18	166673	79	1	7	10508	1371	1389	0.9870410367170627	1353.233261339093
eggNOG_count_0.55_1	1369	2	18	166673	79	1	7	10508	1371	1389	0.9870410367170627	1353.233261339093
EC number_count_0.6_1e-30	678	14	50	167320	32	3	6	10507	692	742	0.9326145552560647	645.3692722371968
EC number_count_0.6_1e-20	734	14	74	167240	34	3	8	10507	748	822	0.9099756690997567	680.661800486618
EC number_count_0.6_1e-15	734	14	74	167240	34	3	8	10507	748	822	0.9099756690997567	680.661800486618
EC number_count_0.6_1e-10	734	14	74	167240	34	3	8	10507	748	822	0.9099756690997567	680.661800486618
EC number_count_0.6_1e-05	734	14	74	167240	34	3	8	10507	748	822	0.9099756690997567	680.661800486618
EC number_count_0.6_0.01	734	14	74	167240	34	3	8	10507	748	822	0.9099756690997567	680.661800486618
EC number_count_0.6_1	734	14	74	167240	34	3	8	10507	748	822	0.9099756690997567	680.661800486618
Protein families_count_0.6_1e-30	1474	10	125	166453	65	2	11	10506	1484	1609	0.9223119950279677	1368.7110006215041
Protein families_count_0.6_1e-20	2014	14	160	165874	86	3	14	10505	2028	2188	0.926873857404022	1879.7001828153566
Protein families_count_0.6_1e-15	2219	14	160	165669	92	3	14	10505	2233	2393	0.9331383201002925	2083.6978687839533
Protein families_count_0.6_1e-10	2286	14	160	165602	99	3	14	10505	2300	2460	0.9349593495934959	2150.4065040650407
Protein families_count_0.6_1e-05	2387	14	160	165501	105	3	14	10505	2401	2561	0.9375244045294807	2250.996095275283
Protein families_count_0.6_0.01	2389	14	160	165499	105	3	14	10505	2403	2563	0.9375731564572767	2252.988294966836
Protein families_count_0.6_1	2389	14	160	165499	105	3	14	10505	2403	2563	0.9375731564572767	2252.988294966836
OrthoDB_count_0.6_1e-30	729	0	229	167104	42	0	25	10505	729	958	0.7609603340292276	554.740083507307
OrthoDB_count_0.6_1e-20	1003	0	257	166802	56	0	32	10505	1003	1260	0.796031746031746	798.4198412698412
OrthoDB_count_0.6_1e-15	1109	0	296	166657	60	0	34	10505	1109	1405	0.7893238434163701	875.3601423487544
OrthoDB_count_0.6_1e-10	1144	0	310	166608	64	0	37	10505	1144	1454	0.7867950481430537	900.0935350756534
OrthoDB_count_0.6_1e-05	1203	0	318	166541	67	0	39	10505	1203	1521	0.7909270216962525	951.4852071005918
OrthoDB_count_0.6_0.01	1203	0	318	166541	67	0	39	10505	1203	1521	0.7909270216962525	951.4852071005918
OrthoDB_count_0.6_1	1203	0	318	166541	67	0	39	10505	1203	1521	0.7909270216962525	951.4852071005918
PANTHER_count_0.6_1e-30	1436	434	0	166192	73	51	0	10504	1870	1870	1.0	1870.0
PANTHER_count_0.6_1e-20	1864	575	28	165595	95	65	3	10502	2439	2467	0.9886501824077827	2411.317794892582
PANTHER_count_0.6_1e-15	2009	638	28	165387	103	71	3	10502	2647	2675	0.9895327102803738	2619.2930841121497
PANTHER_count_0.6_1e-10	2059	647	36	165320	107	74	4	10502	2706	2742	0.986870897155361	2670.472647702407
PANTHER_count_0.6_1e-05	2144	665	36	165217	115	75	4	10502	2809	2845	0.9873462214411248	2773.4555360281197
PANTHER_count_0.6_0.01	2148	665	36	165213	116	75	4	10502	2813	2849	0.9873639873639873	2777.4548964548962
PANTHER_count_0.6_1	2149	665	36	165212	116	75	4	10502	2814	2850	0.9873684210526316	2778.4547368421054
InterPro_count_0.6_1e-30	1563	319	0	166180	76	34	0	10504	1882	1882	1.0	1882.0
InterPro_count_0.6_1e-20	2084	395	0	165583	95	46	0	10502	2479	2479	1.0	2479.0
InterPro_count_0.6_1e-15	2226	461	0	165375	100	52	0	10502	2687	2687	1.0	2687.0
InterPro_count_0.6_1e-10	2287	467	0	165308	105	54	0	10502	2754	2754	1.0	2754.0
InterPro_count_0.6_1e-05	2384	473	0	165205	110	57	0	10502	2857	2857	1.0	2857.0
InterPro_count_0.6_0.01	2388	473	0	165201	111	57	0	10502	2861	2861	1.0	2861.0
InterPro_count_0.6_1	2389	473	0	165200	111	57	0	10502	2862	2862	1.0	2862.0
Pfam_count_0.6_1e-30	1711	167	4	166180	81	18	1	10504	1878	1882	0.997874601487779	1874.0085015940488
Pfam_count_0.6_1e-20	2296	179	4	165583	105	23	1	10502	2475	2479	0.9983864461476402	2471.0064542154096
Pfam_count_0.6_1e-15	2503	180	4	165375	112	24	1	10502	2683	2687	0.9985113509490138	2679.005954596204
Pfam_count_0.6_1e-10	2564	180	4	165314	117	24	1	10502	2744	2748	0.9985443959243085	2740.0058224163026
Pfam_count_0.6_1e-05	2667	180	4	165211	124	24	1	10502	2847	2851	0.9985969835145563	2843.005612065942
Pfam_count_0.6_0.01	2671	180	4	165207	125	24	1	10502	2851	2855	0.998598949211909	2847.0056042031524
Pfam_count_0.6_1	2672	180	4	165206	125	24	1	10502	2852	2856	0.9985994397759104	2848.005602240896
eggNOG_count_0.6_1e-30	564	0	2	167496	29	0	1	10508	564	566	0.9964664310954063	562.0070671378091
eggNOG_count_0.6_1e-20	714	0	2	167346	38	0	1	10508	714	716	0.9972067039106145	712.0055865921787
eggNOG_count_0.6_1e-15	802	0	2	167258	41	0	1	10508	802	804	0.9975124378109452	800.0049751243781
eggNOG_count_0.6_1e-10	823	0	2	167237	45	0	1	10508	823	825	0.9975757575757576	821.0048484848485
eggNOG_count_0.6_1e-05	870	0	4	167188	47	0	2	10508	870	874	0.9954233409610984	866.0183066361557
eggNOG_count_0.6_0.01	870	0	4	167188	47	0	2	10508	870	874	0.9954233409610984	866.0183066361557
eggNOG_count_0.6_1	870	0	4	167188	47	0	2	10508	870	874	0.9954233409610984	866.0183066361557
EC number_count_0.65_1e-30	263	8	24	167767	17	1	2	10508	271	295	0.9186440677966101	248.95254237288134
EC number_count_0.65_1e-20	284	8	44	167726	20	1	4	10508	292	336	0.8690476190476191	253.76190476190476
EC number_count_0.65_1e-15	284	8	44	167726	20	1	4	10508	292	336	0.8690476190476191	253.76190476190476
EC number_count_0.65_1e-10	284	8	44	167726	20	1	4	10508	292	336	0.8690476190476191	253.76190476190476
EC number_count_0.65_1e-05	284	8	44	167726	20	1	4	10508	292	336	0.8690476190476191	253.76190476190476
EC number_count_0.65_0.01	284	8	44	167726	20	1	4	10508	292	336	0.8690476190476191	253.76190476190476
EC number_count_0.65_1	284	8	44	167726	20	1	4	10508	292	336	0.8690476190476191	253.76190476190476
Protein families_count_0.65_1e-30	669	0	75	167318	35	0	6	10508	669	744	0.8991935483870968	601.5604838709677
Protein families_count_0.65_1e-20	1009	4	110	166939	46	1	9	10507	1013	1123	0.9020480854853072	913.7747105966163
Protein families_count_0.65_1e-15	1107	4	110	166841	51	1	9	10507	1111	1221	0.9099099099099099	1010.90990990991
Protein families_count_0.65_1e-10	1125	4	110	166823	53	1	9	10507	1129	1239	0.9112187247780468	1028.7659402744148
Protein families_count_0.65_1e-05	1151	4	110	166797	57	1	9	10507	1155	1265	0.9130434782608695	1054.5652173913043
Protein families_count_0.65_0.01	1151	4	110	166797	57	1	9	10507	1155	1265	0.9130434782608695	1054.5652173913043
Protein families_count_0.65_1	1151	4	110	166797	57	1	9	10507	1155	1265	0.9130434782608695	1054.5652173913043
OrthoDB_count_0.65_1e-30	325	0	154	167583	23	0	14	10507	325	479	0.6784968684759917	220.51148225469728
OrthoDB_count_0.65_1e-20	507	0	180	167375	30	0	20	10507	507	687	0.7379912663755459	374.16157205240177
OrthoDB_count_0.65_1e-15	553	0	208	167301	34	0	21	10507	553	761	0.7266754270696452	401.8515111695138
OrthoDB_count_0.65_1e-10	561	0	212	167289	35	0	22	10507	561	773	0.7257438551099612	407.1423027166882
OrthoDB_count_0.65_1e-05	577	0	214	167271	38	0	23	10507	577	791	0.729456384323641	420.89633375474085
OrthoDB_count_0.65_0.01	577	0	214	167271	38	0	23	10507	577	791	0.729456384323641	420.89633375474085
OrthoDB_count_0.65_1	577	0	214	167271	38	0	23	10507	577	791	0.729456384323641	420.89633375474085
PANTHER_count_0.65_1e-30	642	240	0	167180	40	28	0	10506	882	882	1.0	882.0
PANTHER_count_0.65_1e-20	903	344	18	166797	50	38	3	10504	1247	1265	0.9857707509881423	1229.2561264822134
PANTHER_count_0.65_1e-15	959	386	18	166699	55	42	3	10504	1345	1363	0.9867938371239912	1327.237710931768
PANTHER_count_0.65_1e-10	977	386	18	166681	57	42	3	10504	1363	1381	0.9869659666908037	1345.2346125995655
PANTHER_count_0.65_1e-05	999	390	18	166655	61	43	3	10504	1389	1407	0.9872068230277186	1371.230277185501
PANTHER_count_0.65_0.01	999	390	18	166655	61	43	3	10504	1389	1407	0.9872068230277186	1371.230277185501
PANTHER_count_0.65_1	999	390	18	166655	61	43	3	10504	1389	1407	0.9872068230277186	1371.230277185501
InterPro_count_0.65_1e-30	790	92	0	167180	41	15	0	10506	882	882	1.0	882.0
InterPro_count_0.65_1e-20	1133	132	0	166797	52	20	0	10504	1265	1265	1.0	1265.0
InterPro_count_0.65_1e-15	1215	148	0	166699	57	21	0	10504	1363	1363	1.0	1363.0
InterPro_count_0.65_1e-10	1233	148	0	166681	59	21	0	10504	1381	1381	1.0	1381.0
InterPro_count_0.65_1e-05	1257	150	0	166655	63	22	0	10504	1407	1407	1.0	1407.0
InterPro_count_0.65_0.01	1257	150	0	166655	63	22	0	10504	1407	1407	1.0	1407.0
InterPro_count_0.65_1	1257	150	0	166655	63	22	0	10504	1407	1407	1.0	1407.0
Pfam_count_0.65_1e-30	805	77	0	167180	44	8	0	10506	882	882	1.0	882.0
Pfam_count_0.65_1e-20	1180	85	0	166797	56	11	0	10504	1265	1265	1.0	1265.0
Pfam_count_0.65_1e-15	1278	85	0	166699	61	11	0	10504	1363	1363	1.0	1363.0
Pfam_count_0.65_1e-10	1296	85	0	166681	63	11	0	10504	1381	1381	1.0	1381.0
Pfam_count_0.65_1e-05	1322	85	0	166655	67	11	0	10504	1407	1407	1.0	1407.0
Pfam_count_0.65_0.01	1322	85	0	166655	67	11	0	10504	1407	1407	1.0	1407.0
Pfam_count_0.65_1	1322	85	0	166655	67	11	0	10504	1407	1407	1.0	1407.0
eggNOG_count_0.65_1e-30	305	0	0	167757	20	0	0	10508	305	305	1.0	305.0
eggNOG_count_0.65_1e-20	401	0	0	167661	23	0	0	10508	401	401	1.0	401.0
eggNOG_count_0.65_1e-15	427	0	0	167635	26	0	0	10508	427	427	1.0	427.0
eggNOG_count_0.65_1e-10	427	0	0	167635	26	0	0	10508	427	427	1.0	427.0
eggNOG_count_0.65_1e-05	441	0	0	167621	29	0	0	10508	441	441	1.0	441.0
eggNOG_count_0.65_0.01	441	0	0	167621	29	0	0	10508	441	441	1.0	441.0
eggNOG_count_0.65_1	441	0	0	167621	29	0	0	10508	441	441	1.0	441.0
EC number_count_0.7_1e-30	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
EC number_count_0.7_1e-20	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
EC number_count_0.7_1e-15	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
EC number_count_0.7_1e-10	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
EC number_count_0.7_1e-05	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
EC number_count_0.7_0.01	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
EC number_count_0.7_1	64	0	4	167994	8	0	1	10508	64	68	0.9411764705882353	60.23529411764706
Protein families_count_0.7_1e-30	300	0	23	167739	16	0	5	10508	300	323	0.9287925696594427	278.6377708978328
Protein families_count_0.7_1e-20	514	4	47	167497	23	1	6	10507	518	565	0.9168141592920354	474.9097345132743
Protein families_count_0.7_1e-15	536	4	47	167475	24	1	6	10507	540	587	0.919931856899489	496.76320272572406
Protein families_count_0.7_1e-10	542	4	47	167469	24	1	6	10507	546	593	0.9207419898819561	502.72512647554805
Protein families_count_0.7_1e-05	542	4	47	167469	24	1	6	10507	546	593	0.9207419898819561	502.72512647554805
Protein families_count_0.7_0.01	542	4	47	167469	24	1	6	10507	546	593	0.9207419898819561	502.72512647554805
Protein families_count_0.7_1	542	4	47	167469	24	1	6	10507	546	593	0.9207419898819561	502.72512647554805
OrthoDB_count_0.7_1e-30	91	0	118	167853	10	0	8	10507	91	209	0.4354066985645933	39.62200956937799
OrthoDB_count_0.7_1e-20	218	0	140	167704	15	0	13	10507	218	358	0.6089385474860335	132.7486033519553
OrthoDB_count_0.7_1e-15	232	0	140	167690	16	0	13	10507	232	372	0.6236559139784946	144.68817204301075
OrthoDB_count_0.7_1e-10	234	0	140	167688	16	0	13	10507	234	374	0.6256684491978609	146.40641711229947
OrthoDB_count_0.7_1e-05	234	0	140	167688	16	0	13	10507	234	374	0.6256684491978609	146.40641711229947
OrthoDB_count_0.7_0.01	234	0	140	167688	16	0	13	10507	234	374	0.6256684491978609	146.40641711229947
OrthoDB_count_0.7_1	234	0	140	167688	16	0	13	10507	234	374	0.6256684491978609	146.40641711229947
PANTHER_count_0.7_1e-30	271	136	0	167655	23	16	0	10506	407	407	1.0	407.0
PANTHER_count_0.7_1e-20	420	225	6	167411	29	22	2	10505	645	651	0.9907834101382489	639.0552995391705
PANTHER_count_0.7_1e-15	436	231	6	167389	30	23	2	10505	667	673	0.9910846953937593	661.0534918276375
PANTHER_count_0.7_1e-10	442	231	6	167383	30	23	2	10505	673	679	0.9911634756995582	667.0530191458026
PANTHER_count_0.7_1e-05	442	231	6	167383	30	23	2	10505	673	679	0.9911634756995582	667.0530191458026
PANTHER_count_0.7_0.01	442	231	6	167383	30	23	2	10505	673	679	0.9911634756995582	667.0530191458026
PANTHER_count_0.7_1	442	231	6	167383	30	23	2	10505	673	679	0.9911634756995582	667.0530191458026
